age,job,marital,education,default,housing,loan,contact,campaign,poutcome,y
46,management,married,tertiary,no,yes,no,cellular,1,failure,no
40,self-employed,married,secondary,no,yes,no,cellular,2,failure,yes
29,management,single,tertiary,no,no,no,cellular,1,failure,yes
52,blue-collar,married,primary,no,yes,no,telephone,3,failure,no
47,management,married,tertiary,no,no,no,cellular,2,success,yes
39,blue-collar,single,secondary,no,yes,yes,cellular,1,failure,no
51,management,single,tertiary,no,yes,no,cellular,2,failure,no
31,blue-collar,married,secondary,no,yes,no,cellular,4,other,no
28,management,single,tertiary,no,no,no,cellular,1,success,no
56,admin.,divorced,secondary,no,no,no,cellular,4,failure,yes
40,blue-collar,married,secondary,no,no,no,cellular,2,success,yes
25,admin.,single,tertiary,no,yes,no,cellular,3,failure,yes
29,management,single,tertiary,no,yes,no,cellular,2,failure,yes
33,admin.,married,tertiary,no,yes,yes,cellular,1,failure,no
29,management,single,tertiary,no,yes,no,cellular,4,failure,no
34,admin.,married,tertiary,no,yes,no,telephone,3,success,no
43,blue-collar,married,secondary,no,yes,no,cellular,2,success,no
53,admin.,married,secondary,no,no,no,telephone,1,failure,yes
24,services,single,secondary,no,yes,no,cellular,2,other,no
36,self-employed,married,secondary,no,yes,yes,cellular,3,success,yes
40,management,single,tertiary,no,yes,no,cellular,2,failure,no
30,services,single,tertiary,no,no,no,cellular,1,failure,yes
29,management,married,tertiary,no,no,no,cellular,1,failure,no
28,blue-collar,married,secondary,no,yes,no,cellular,2,success,yes
41,services,married,secondary,no,yes,no,cellular,2,failure,no
40,management,married,secondary,no,yes,no,cellular,1,other,no
27,management,single,tertiary,no,no,no,cellular,1,failure,no
45,management,married,tertiary,no,yes,no,cellular,3,failure,no
37,technician,married,secondary,no,no,no,cellular,2,other,yes
62,management,married,tertiary,no,no,no,cellular,1,success,yes
35,admin.,divorced,secondary,no,no,no,cellular,1,failure,no
60,retired,divorced,secondary,no,no,no,cellular,2,success,no
58,admin.,divorced,secondary,no,yes,no,telephone,2,failure,yes
33,technician,single,tertiary,no,no,no,cellular,5,failure,yes
49,blue-collar,married,secondary,no,yes,no,cellular,2,failure,yes
28,unemployed,single,primary,no,no,no,cellular,1,failure,yes
33,technician,married,secondary,no,yes,no,cellular,2,failure,yes
64,retired,married,secondary,no,no,no,cellular,1,success,yes
37,management,single,tertiary,no,yes,no,cellular,2,failure,no
60,admin.,divorced,secondary,no,yes,yes,cellular,1,failure,no
26,admin.,single,secondary,no,yes,no,cellular,4,other,no
29,self-employed,single,tertiary,no,no,no,cellular,1,failure,no
43,blue-collar,married,primary,no,yes,no,cellular,2,other,no
59,retired,married,primary,no,no,no,cellular,1,success,no
30,technician,married,secondary,no,yes,no,cellular,3,failure,yes
38,self-employed,single,tertiary,no,yes,no,cellular,4,other,yes
38,housemaid,single,secondary,no,yes,no,cellular,1,success,no
44,blue-collar,married,secondary,no,yes,no,telephone,1,other,yes
57,admin.,married,primary,no,yes,no,cellular,1,failure,no
44,blue-collar,single,primary,no,yes,yes,cellular,3,failure,no
23,self-employed,single,tertiary,no,no,no,cellular,1,success,yes
43,management,married,tertiary,no,yes,no,telephone,3,failure,no
40,technician,single,secondary,no,yes,yes,cellular,1,failure,no
34,management,single,tertiary,no,yes,no,cellular,1,failure,no
49,blue-collar,married,secondary,no,yes,no,cellular,2,success,yes
37,management,married,tertiary,no,no,no,cellular,1,success,yes
28,management,single,secondary,no,no,no,cellular,1,success,no
21,student,single,secondary,no,no,no,telephone,2,success,yes
45,management,single,tertiary,no,no,no,cellular,3,success,no
59,management,married,tertiary,no,no,no,cellular,1,failure,no
29,management,single,tertiary,no,no,no,cellular,1,success,yes
44,admin.,single,secondary,no,yes,yes,cellular,7,failure,no
32,student,single,tertiary,no,no,no,cellular,4,failure,no
28,blue-collar,single,secondary,no,no,no,cellular,1,other,no
39,management,married,tertiary,no,no,no,cellular,1,success,no
65,retired,divorced,primary,no,no,no,cellular,2,failure,yes
40,technician,married,secondary,no,no,no,cellular,1,failure,yes
47,admin.,married,secondary,no,yes,yes,cellular,1,other,yes
40,self-employed,single,tertiary,no,no,no,cellular,2,other,yes
84,retired,divorced,primary,no,no,no,telephone,2,failure,no
28,services,married,secondary,no,yes,no,cellular,5,other,no
34,blue-collar,married,primary,no,yes,no,cellular,1,failure,yes
40,unemployed,single,tertiary,no,no,no,cellular,1,failure,yes
45,management,divorced,secondary,no,yes,no,cellular,1,success,yes
37,management,married,tertiary,no,yes,no,cellular,3,failure,yes
28,self-employed,single,tertiary,no,no,no,cellular,3,other,yes
33,services,married,secondary,no,yes,no,cellular,2,other,no
32,services,married,secondary,no,no,no,cellular,1,failure,yes
54,management,married,tertiary,no,no,yes,cellular,1,failure,yes
34,blue-collar,divorced,primary,no,yes,no,cellular,2,success,yes
36,admin.,single,secondary,no,no,no,cellular,3,other,yes
33,services,single,secondary,no,no,yes,cellular,1,failure,no
74,retired,divorced,primary,no,no,no,cellular,5,other,yes
69,retired,single,tertiary,no,no,no,cellular,1,success,yes
34,blue-collar,married,tertiary,no,yes,no,cellular,2,other,no
51,management,married,tertiary,no,no,no,cellular,2,other,no
35,technician,married,secondary,no,yes,no,cellular,2,failure,no
47,management,married,tertiary,no,no,no,cellular,1,success,yes
29,management,single,tertiary,no,yes,no,cellular,1,failure,yes
31,technician,married,tertiary,no,no,no,cellular,6,success,yes
54,management,divorced,tertiary,no,no,no,cellular,3,other,yes
33,technician,married,tertiary,no,no,no,cellular,2,success,no
70,retired,married,secondary,no,no,no,cellular,1,success,yes
59,technician,married,secondary,no,no,no,cellular,1,other,yes
55,blue-collar,married,primary,no,yes,no,cellular,4,failure,no
70,retired,married,secondary,no,no,no,telephone,3,success,no
35,technician,single,secondary,no,yes,no,cellular,1,other,yes
30,technician,single,tertiary,no,yes,no,cellular,2,failure,no
38,admin.,married,secondary,no,yes,no,cellular,4,success,yes
33,admin.,single,tertiary,no,yes,no,cellular,1,failure,yes
44,admin.,single,secondary,no,yes,no,cellular,2,success,yes
44,entrepreneur,married,secondary,no,yes,no,cellular,1,failure,no
45,blue-collar,married,secondary,no,no,no,cellular,1,other,no
32,blue-collar,married,primary,no,no,no,cellular,3,other,yes
56,retired,married,primary,no,no,no,telephone,2,success,yes
22,unemployed,single,tertiary,no,no,no,cellular,3,other,yes
32,services,single,tertiary,no,no,no,cellular,6,other,no
30,self-employed,single,tertiary,no,no,no,cellular,2,success,yes
52,blue-collar,married,secondary,no,yes,no,cellular,2,other,no
45,blue-collar,married,secondary,no,no,no,cellular,1,success,yes
36,entrepreneur,married,secondary,no,no,no,cellular,1,failure,yes
53,retired,divorced,tertiary,no,yes,no,cellular,2,success,yes
55,management,divorced,tertiary,no,yes,no,cellular,1,failure,yes
31,services,single,secondary,no,yes,no,cellular,2,other,no
46,technician,married,tertiary,no,no,no,cellular,2,failure,yes
46,blue-collar,married,secondary,no,yes,yes,cellular,1,failure,no
37,admin.,married,secondary,no,yes,no,cellular,7,other,no
37,technician,married,tertiary,no,no,no,cellular,3,success,yes
59,management,married,tertiary,no,no,no,cellular,1,failure,yes
29,management,married,tertiary,no,yes,no,cellular,1,failure,no
42,management,married,tertiary,no,yes,no,cellular,1,failure,yes
56,retired,divorced,primary,no,no,no,cellular,1,other,yes
38,technician,married,secondary,no,yes,no,cellular,3,failure,no
32,management,divorced,tertiary,no,yes,no,cellular,1,success,yes
51,management,single,tertiary,no,yes,no,telephone,1,failure,yes
86,retired,married,primary,no,no,no,telephone,1,success,yes
31,management,single,tertiary,no,yes,no,cellular,2,failure,no
66,retired,married,secondary,no,no,yes,cellular,1,success,yes
39,blue-collar,married,secondary,no,yes,no,cellular,4,failure,no
56,retired,married,secondary,no,no,no,cellular,1,failure,no
30,management,married,tertiary,no,no,no,cellular,3,other,yes
55,admin.,married,secondary,no,no,no,cellular,1,success,yes
41,admin.,married,secondary,no,yes,no,cellular,1,failure,yes
33,self-employed,single,tertiary,no,yes,no,cellular,1,failure,yes
33,management,divorced,tertiary,no,yes,yes,cellular,7,failure,no
46,admin.,divorced,primary,no,yes,no,cellular,2,success,no
38,technician,divorced,secondary,no,yes,no,cellular,3,success,no
30,student,single,secondary,no,no,no,cellular,1,success,yes
72,self-employed,married,tertiary,no,no,no,cellular,2,success,yes
43,entrepreneur,divorced,tertiary,no,yes,no,cellular,1,failure,yes
38,technician,single,secondary,no,no,no,cellular,2,success,yes
34,technician,married,secondary,no,yes,no,cellular,2,success,yes
32,technician,married,secondary,no,no,no,cellular,2,failure,yes
43,admin.,single,secondary,no,yes,no,cellular,3,failure,no
35,management,married,tertiary,no,no,no,cellular,2,success,yes
45,technician,divorced,secondary,no,yes,yes,cellular,1,failure,yes
33,technician,married,secondary,no,no,no,cellular,1,failure,no
28,management,single,tertiary,no,no,no,cellular,1,failure,no
43,admin.,single,secondary,no,yes,yes,cellular,2,failure,yes
54,admin.,married,secondary,no,no,no,cellular,1,failure,yes
27,student,single,secondary,no,no,no,telephone,6,other,no
31,self-employed,married,secondary,no,yes,no,cellular,1,failure,no
36,management,married,tertiary,no,no,no,cellular,2,failure,no
44,entrepreneur,married,tertiary,no,no,no,cellular,1,success,yes
28,management,single,tertiary,no,no,no,cellular,1,success,yes
38,blue-collar,single,secondary,no,no,no,cellular,2,failure,no
30,management,single,tertiary,no,yes,no,cellular,2,failure,yes
33,blue-collar,single,tertiary,no,yes,no,cellular,1,failure,no
32,blue-collar,married,secondary,no,yes,no,cellular,1,success,no
35,technician,married,secondary,no,no,no,cellular,2,success,no
61,management,married,tertiary,no,no,no,cellular,3,success,yes
49,self-employed,divorced,tertiary,no,no,no,cellular,3,other,no
40,services,married,secondary,no,yes,no,cellular,1,failure,no
48,unemployed,divorced,secondary,no,no,no,cellular,2,success,yes
46,blue-collar,married,secondary,no,no,no,cellular,5,other,no
57,retired,married,secondary,no,no,no,cellular,1,failure,no
45,management,married,tertiary,no,yes,no,cellular,4,success,no
66,retired,married,tertiary,no,no,no,cellular,2,failure,yes
32,management,single,tertiary,no,yes,no,cellular,1,other,no
42,unemployed,married,secondary,no,no,no,cellular,3,success,yes
33,blue-collar,married,primary,no,yes,no,cellular,3,failure,no
35,management,married,secondary,no,yes,no,cellular,1,failure,no
38,entrepreneur,single,secondary,no,no,no,cellular,3,success,yes
36,management,married,tertiary,no,no,no,cellular,3,success,yes
40,admin.,married,secondary,no,yes,no,cellular,1,success,no
47,technician,married,secondary,no,yes,no,cellular,2,success,no
54,unemployed,married,secondary,no,yes,no,cellular,5,failure,no
26,services,married,secondary,no,yes,no,cellular,1,failure,yes
68,retired,married,tertiary,no,no,no,cellular,1,success,yes
23,technician,single,secondary,no,no,no,cellular,1,failure,no
39,blue-collar,married,secondary,no,yes,no,cellular,1,failure,no
33,services,single,secondary,no,no,no,cellular,1,success,yes
59,management,married,primary,no,no,no,telephone,4,failure,no
34,management,married,tertiary,no,yes,no,cellular,1,success,yes
75,blue-collar,married,secondary,no,no,no,cellular,2,failure,yes
43,housemaid,married,primary,no,no,yes,cellular,1,failure,no
28,services,single,secondary,no,no,no,cellular,1,success,yes
82,housemaid,divorced,primary,no,no,no,cellular,5,failure,yes
35,management,married,tertiary,no,no,no,cellular,2,success,yes
47,management,single,tertiary,no,no,no,cellular,3,success,yes
31,student,single,secondary,no,yes,no,cellular,4,other,no
33,blue-collar,single,secondary,no,yes,no,cellular,1,failure,no
31,blue-collar,married,secondary,no,yes,yes,cellular,1,failure,no
30,technician,single,tertiary,no,yes,no,cellular,1,success,no
31,management,single,tertiary,no,yes,no,cellular,2,failure,no
46,blue-collar,married,secondary,no,yes,no,cellular,1,success,yes
34,management,single,tertiary,no,yes,no,cellular,2,failure,yes
33,technician,divorced,secondary,no,yes,no,cellular,2,failure,yes
34,blue-collar,married,secondary,no,yes,no,cellular,1,failure,no
61,retired,married,secondary,no,no,no,cellular,2,success,no
44,management,married,tertiary,no,yes,no,cellular,3,failure,yes
48,admin.,single,secondary,no,yes,no,telephone,1,failure,no
33,admin.,single,secondary,no,yes,no,cellular,1,failure,yes
33,technician,single,tertiary,no,yes,no,cellular,2,failure,yes
49,technician,married,tertiary,no,no,no,cellular,1,success,yes
39,management,single,tertiary,no,yes,no,cellular,6,failure,no
50,management,divorced,tertiary,no,yes,yes,cellular,1,failure,no
29,technician,married,secondary,no,yes,no,cellular,1,failure,yes
62,self-employed,divorced,tertiary,no,yes,no,cellular,1,success,no
62,retired,married,primary,no,no,no,telephone,3,failure,no
27,student,single,secondary,no,no,no,cellular,1,other,yes
39,technician,single,secondary,no,yes,no,cellular,2,failure,no
37,admin.,single,tertiary,no,yes,no,cellular,1,failure,no
43,blue-collar,married,primary,no,yes,no,cellular,7,failure,yes
46,management,married,tertiary,no,yes,no,cellular,1,failure,no
50,technician,single,secondary,no,yes,no,cellular,1,failure,no
35,blue-collar,married,secondary,no,yes,no,cellular,1,other,yes
55,admin.,divorced,secondary,no,no,no,cellular,2,failure,yes
38,management,married,tertiary,no,no,no,cellular,1,other,no
32,management,single,tertiary,no,yes,no,cellular,1,failure,yes
32,management,single,tertiary,no,yes,no,cellular,1,success,yes
48,blue-collar,married,primary,no,yes,yes,cellular,1,failure,no
35,blue-collar,married,secondary,no,yes,no,cellular,7,failure,yes
33,entrepreneur,married,tertiary,no,yes,no,cellular,1,failure,no
37,blue-collar,married,primary,no,yes,no,cellular,1,other,yes
36,admin.,divorced,secondary,no,yes,no,cellular,1,success,no
54,technician,divorced,secondary,no,yes,yes,cellular,2,failure,yes
25,blue-collar,single,secondary,no,yes,no,cellular,1,success,yes
43,services,divorced,secondary,no,yes,yes,cellular,2,failure,no
45,admin.,divorced,primary,no,yes,no,cellular,1,success,yes
27,admin.,single,secondary,no,yes,no,cellular,1,failure,no
30,management,single,tertiary,no,no,no,cellular,4,failure,no
44,management,married,secondary,no,no,yes,cellular,2,failure,yes
30,admin.,married,secondary,no,yes,no,cellular,3,failure,yes
67,retired,married,secondary,no,no,no,cellular,5,other,yes
27,management,single,tertiary,no,no,no,telephone,2,success,no
24,student,single,secondary,no,no,no,cellular,4,failure,no
43,blue-collar,married,secondary,no,yes,yes,cellular,2,other,yes
31,unemployed,single,secondary,no,yes,no,cellular,2,other,no
33,services,married,secondary,no,yes,no,cellular,1,failure,no
28,admin.,single,secondary,no,no,no,cellular,1,failure,yes
61,housemaid,married,primary,no,no,no,cellular,3,other,yes
44,unemployed,married,secondary,no,yes,no,cellular,1,failure,no
51,self-employed,married,primary,no,yes,no,telephone,3,failure,no
54,technician,married,tertiary,no,no,no,cellular,1,success,yes
29,student,single,tertiary,no,yes,no,cellular,5,failure,no
32,management,married,tertiary,no,yes,no,cellular,4,failure,no
56,technician,divorced,secondary,no,yes,no,cellular,5,failure,no
37,technician,married,secondary,no,yes,no,cellular,2,failure,yes
47,admin.,married,secondary,no,no,no,cellular,1,other,no
30,admin.,married,secondary,no,no,yes,cellular,3,failure,no
35,blue-collar,single,secondary,no,yes,no,cellular,1,success,yes
48,unemployed,married,secondary,no,no,no,cellular,4,success,yes
34,technician,single,secondary,no,yes,no,cellular,3,success,no
50,housemaid,divorced,secondary,no,no,no,telephone,1,failure,no
39,management,single,tertiary,no,no,yes,cellular,5,other,no
32,services,married,secondary,no,no,no,cellular,1,success,no
29,management,single,tertiary,no,no,no,cellular,1,success,yes
56,services,single,secondary,no,yes,no,cellular,1,failure,yes
43,technician,married,primary,no,yes,no,cellular,5,other,no
32,admin.,married,secondary,no,yes,no,cellular,3,failure,yes
34,admin.,married,secondary,no,yes,no,telephone,4,other,no
49,entrepreneur,single,secondary,no,no,no,cellular,3,success,no
49,management,divorced,tertiary,no,yes,no,cellular,2,failure,no
37,management,married,tertiary,no,no,no,cellular,1,failure,no
34,admin.,married,secondary,no,yes,no,cellular,2,success,yes
35,admin.,single,tertiary,no,no,no,cellular,1,failure,yes
55,self-employed,married,secondary,no,no,no,telephone,2,failure,no
36,self-employed,married,tertiary,no,no,no,cellular,1,success,no
30,technician,single,secondary,yes,yes,no,cellular,5,failure,no
48,management,married,tertiary,no,no,no,cellular,1,success,yes
34,management,married,tertiary,no,no,no,cellular,1,other,yes
59,self-employed,married,tertiary,no,no,no,cellular,4,success,yes
83,retired,married,primary,no,no,no,telephone,1,success,no
36,services,single,secondary,no,yes,yes,cellular,1,failure,no
50,management,married,secondary,no,yes,no,cellular,2,other,yes
46,housemaid,married,primary,no,no,no,cellular,1,failure,yes
37,management,single,tertiary,no,yes,no,cellular,1,success,no
37,self-employed,divorced,secondary,no,yes,no,cellular,1,failure,no
28,unemployed,married,secondary,no,yes,no,cellular,1,failure,yes
36,technician,single,secondary,no,no,no,cellular,1,success,yes
40,technician,single,tertiary,no,yes,no,cellular,1,other,no
24,student,single,secondary,no,no,no,cellular,2,failure,yes
35,self-employed,single,tertiary,no,no,no,cellular,1,success,yes
38,management,married,tertiary,no,no,no,cellular,2,success,yes
42,technician,single,secondary,no,yes,yes,cellular,2,other,no
34,admin.,married,secondary,no,yes,no,cellular,2,other,no
28,management,single,tertiary,no,no,no,cellular,2,failure,yes
53,self-employed,married,secondary,no,yes,no,cellular,1,failure,no
60,management,married,tertiary,no,no,no,cellular,5,other,yes
71,retired,divorced,secondary,no,no,no,cellular,1,success,yes
54,blue-collar,divorced,secondary,no,yes,yes,cellular,11,other,no
32,services,married,secondary,no,yes,no,cellular,1,other,no
42,services,married,secondary,no,yes,yes,cellular,4,failure,yes
38,blue-collar,married,primary,no,no,no,cellular,3,other,yes
25,services,married,secondary,no,yes,no,cellular,1,failure,no
40,management,married,secondary,no,yes,no,cellular,4,failure,no
33,self-employed,married,secondary,no,no,no,cellular,1,success,yes
35,housemaid,married,tertiary,no,yes,no,cellular,5,failure,yes
37,blue-collar,married,primary,no,yes,yes,cellular,1,failure,no
42,entrepreneur,married,secondary,no,yes,no,cellular,1,failure,yes
22,student,single,secondary,no,no,no,cellular,1,failure,no
53,management,divorced,tertiary,no,yes,no,cellular,1,failure,yes
33,services,married,secondary,no,no,no,cellular,1,success,yes
59,technician,married,primary,no,no,no,cellular,1,success,yes
38,services,divorced,secondary,no,yes,no,cellular,1,failure,no
34,management,married,tertiary,no,yes,no,cellular,1,failure,no
29,services,married,secondary,no,yes,no,cellular,2,other,no
24,management,single,tertiary,no,yes,no,cellular,2,other,yes
43,admin.,single,secondary,no,yes,no,cellular,1,success,yes
54,blue-collar,divorced,primary,no,yes,no,cellular,2,other,no
30,management,married,tertiary,no,yes,no,cellular,1,other,no
32,technician,single,tertiary,no,no,no,cellular,1,other,yes
34,management,married,tertiary,no,no,no,cellular,2,other,no
30,admin.,single,secondary,no,no,no,cellular,1,other,yes
68,retired,married,tertiary,no,no,no,cellular,4,success,yes
42,technician,divorced,tertiary,no,yes,no,cellular,1,failure,yes
42,services,married,secondary,no,yes,no,cellular,2,success,yes
69,retired,divorced,secondary,no,no,no,telephone,2,other,no
47,technician,married,secondary,no,no,yes,cellular,1,other,yes
37,blue-collar,married,primary,no,yes,no,cellular,2,failure,no
34,management,married,tertiary,no,yes,no,cellular,1,success,yes
45,management,divorced,tertiary,no,yes,no,cellular,3,failure,yes
41,services,married,secondary,no,yes,no,cellular,1,other,no
68,retired,divorced,primary,no,no,no,cellular,2,success,yes
42,admin.,married,secondary,no,yes,no,cellular,1,failure,no
37,management,married,tertiary,no,yes,yes,telephone,1,failure,yes
52,blue-collar,married,secondary,no,yes,no,cellular,1,failure,yes
27,blue-collar,married,secondary,no,no,yes,cellular,1,other,no
35,services,single,secondary,no,yes,yes,cellular,1,other,no
30,student,single,secondary,no,no,no,telephone,3,failure,yes
26,student,single,secondary,no,no,no,cellular,3,other,yes
38,management,married,tertiary,no,yes,yes,cellular,1,failure,no
38,blue-collar,married,secondary,no,yes,no,cellular,3,failure,yes
29,blue-collar,married,secondary,no,no,no,cellular,1,failure,yes
47,admin.,single,primary,no,no,no,cellular,1,failure,no
33,unemployed,married,tertiary,no,no,no,cellular,1,failure,no
